"flock_ID","flocktype","mean_bodymass"
2,"Large-bodied
Canopy Flocks",60.5
3,"Small-bodied
Flocks",41.55
5,"Large-bodied
Undergrowth Flocks",109.1
7,"Small-bodied
Flocks",41.4833333333333
8,"Large-bodied
Undergrowth Flocks",117.18
9,"Large-bodied
Canopy Flocks",73.34
11,"Small-bodied
Flocks",36.1272727272727
12,"Small-bodied
Flocks",33.6285714285714
13,"Small-bodied
Flocks",34.5714285714286
14,"Small-bodied
Flocks",36.0142857142857
15,"Large-bodied
Undergrowth Flocks",121.216666666667
16,"Large-bodied
Canopy Flocks",73.25
17,"Small-bodied
Flocks",38.25
18,"Small-bodied
Flocks",39.8666666666667
19,"Large-bodied
Undergrowth Flocks",124.5
20,"Small-bodied
Flocks",30.5333333333333
21,"Small-bodied
Flocks",46.2555555555556
22,"Small-bodied
Flocks",32.17
23,"Large-bodied
Canopy Flocks",67.3
24,"Small-bodied
Flocks",33.8857142857143
25,"Small-bodied
Flocks",44.56
26,"Small-bodied
Flocks",38.25
27,"Large-bodied
Canopy Flocks",64.1571428571429
28,"Small-bodied
Flocks",34.0142857142857
29,"Large-bodied
Undergrowth Flocks",109.7
30,"Large-bodied
Undergrowth Flocks",106.7
31,"Large-bodied
Canopy Flocks",46.2222222222222
32,"Small-bodied
Flocks",31.7
33,"Small-bodied
Flocks",42.5
34,"Small-bodied
Flocks",28.3
35,"Large-bodied
Canopy Flocks",52.38
36,"Small-bodied
Flocks",34.3
37,"Small-bodied
Flocks",39.7583333333333
38,"Small-bodied
Flocks",42.3
39,"Small-bodied
Flocks",35.9375
40,"Large-bodied
Canopy Flocks",37.39
41,"Large-bodied
Canopy Flocks",47.725
42,"Small-bodied
Flocks",37.1166666666667
43,"Large-bodied
Undergrowth Flocks",125.025
44,"Large-bodied
Canopy Flocks",57.0875
45,"Small-bodied
Flocks",33.08
46,"Small-bodied
Flocks",39.4142857142857
47,"Small-bodied
Flocks",35.9
48,"Large-bodied
Canopy Flocks",50.025
49,"Small-bodied
Flocks",37.6333333333333
50,"Small-bodied
Flocks",31.26
51,"Small-bodied
Flocks",37.5555555555556
52,"Small-bodied
Flocks",35.2166666666667
53,"Large-bodied
Undergrowth Flocks",119.72
54,"Small-bodied
Flocks",37.1375
55,"Small-bodied
Flocks",33.4375
56,"Small-bodied
Flocks",24.0166666666667
57,"Small-bodied
Flocks",35.75
58,"Large-bodied
Canopy Flocks",107.325
59,"Large-bodied
Undergrowth Flocks",96.3714285714286
60,"Large-bodied
Canopy Flocks",77.9666666666667
61,"Small-bodied
Flocks",6.25
62,"Small-bodied
Flocks",37.9923076923077
63,"Small-bodied
Flocks",64.8
64,"Small-bodied
Flocks",45.2285714285714
65,"Large-bodied
Canopy Flocks",35.5
66,"Large-bodied
Canopy Flocks",65.9
68,"Small-bodied
Flocks",35.8125
69,"Large-bodied
Canopy Flocks",56.3857142857143
70,"Small-bodied
Flocks",35.7142857142857
71,"Large-bodied
Canopy Flocks",72.0857142857143
72,"Small-bodied
Flocks",37.5857142857143
73,"Small-bodied
Flocks",43.275
74,"Small-bodied
Flocks",28.3571428571429
75,"Small-bodied
Flocks",38.8090909090909
76,"Large-bodied
Undergrowth Flocks",137.575
77,"Small-bodied
Flocks",36.7
78,"Large-bodied
Canopy Flocks",80.9
79,"Small-bodied
Flocks",28.0875
80,"Large-bodied
Undergrowth Flocks",114.825
81,"Large-bodied
Canopy Flocks",52.6642857142857
82,"Large-bodied
Undergrowth Flocks",113.475
83,"Small-bodied
Flocks",35.35
84,"Large-bodied
Undergrowth Flocks",118.014285714286
85,"Large-bodied
Undergrowth Flocks",139.433333333333
86,"Large-bodied
Undergrowth Flocks",70.4666666666667
87,"Small-bodied
Flocks",36.34
88,"Small-bodied
Flocks",28.7111111111111
89,"Small-bodied
Flocks",47.4
90,"Large-bodied
Undergrowth Flocks",111.416666666667
91,"Small-bodied
Flocks",35.3818181818182
92,"Small-bodied
Flocks",37.5888888888889
93,"Large-bodied
Canopy Flocks",72.35
94,"Small-bodied
Flocks",37.56
95,"Small-bodied
Flocks",6.25
96,"Large-bodied
Canopy Flocks",60.0375
97,"Large-bodied
Canopy Flocks",56.48
98,"Large-bodied
Undergrowth Flocks",122.72
99,"Small-bodied
Flocks",39.7
100,"Small-bodied
Flocks",29.3357142857143
101,"Small-bodied
Flocks",34.525
102,"Small-bodied
Flocks",18.8333333333333
103,"Large-bodied
Canopy Flocks",60
104,"Large-bodied
Undergrowth Flocks",127.54
105,"Small-bodied
Flocks",54.68
106,"Large-bodied
Canopy Flocks",75.0583333333333
107,"Small-bodied
Flocks",34.7333333333333
108,"Large-bodied
Canopy Flocks",69.0333333333333
109,"Large-bodied
Canopy Flocks",64.48
110,"Small-bodied
Flocks",43.68
111,"Large-bodied
Canopy Flocks",60.8333333333333
112,"Large-bodied
Canopy Flocks",83.1
113,"Large-bodied
Canopy Flocks",65.825
114,"Large-bodied
Canopy Flocks",63.2833333333333
115,"Large-bodied
Canopy Flocks",57.4333333333333
116,"Small-bodied
Flocks",34.6166666666667
117,"Small-bodied
Flocks",36.9166666666667
118,"Large-bodied
Undergrowth Flocks",109.1
119,"Large-bodied
Canopy Flocks",66.74
120,"Small-bodied
Flocks",24.4
121,"Small-bodied
Flocks",35.4941176470588
122,"Large-bodied
Canopy Flocks",89
123,"Large-bodied
Canopy Flocks",56.6166666666667
124,"Small-bodied
Flocks",35.6181818181818
125,"Small-bodied
Flocks",37.4333333333333
126,"Small-bodied
Flocks",30.9636363636364
127,"Small-bodied
Flocks",34.3833333333333
128,"Small-bodied
Flocks",31.03
129,"Large-bodied
Canopy Flocks",71.25
130,"Small-bodied
Flocks",37.2923076923077
131,"Small-bodied
Flocks",37.1428571428571
132,"Small-bodied
Flocks",37.80625
133,"Small-bodied
Flocks",41.1
134,"Small-bodied
Flocks",36.5555555555556
135,"Small-bodied
Flocks",42.84
136,"Large-bodied
Undergrowth Flocks",113.475
137,"Large-bodied
Canopy Flocks",46.3833333333333
138,"Large-bodied
Canopy Flocks",64.48
139,"Small-bodied
Flocks",46.64
140,"Large-bodied
Undergrowth Flocks",125.5
141,"Large-bodied
Canopy Flocks",45.45
142,"Large-bodied
Canopy Flocks",73.45
143,"Large-bodied
Undergrowth Flocks",107.9
144,"Large-bodied
Canopy Flocks",94.2666666666667
145,"Large-bodied
Undergrowth Flocks",128.14
146,"Small-bodied
Flocks",30.775
147,"Large-bodied
Canopy Flocks",87.4666666666667
148,"Small-bodied
Flocks",43.975
149,"Small-bodied
Flocks",39.9
150,"Large-bodied
Undergrowth Flocks",127.22
151,"Large-bodied
Canopy Flocks",84.3
152,"Large-bodied
Canopy Flocks",74.96
